,industry_freq,sub_freq,type_freq,city_freq,Actual_Funded,industry_vertical,sub_vertical,city_location,investment_type,funded_prediction
2194,0.000380517503805175,0.1997716894977169,0.4284627092846271,0.3002283105022831,True,newcurationmobileapp,unknown,bangalore,seedfunding,True
318,0.3569254185692542,0.000380517503805175,0.04946727549467275,0.3002283105022831,True,consumerinternet,onlinefinancialplanning,bangalore,seed/angelfunding,True
238,0.02359208523592085,0.000380517503805175,0.04946727549467275,0.032343987823439876,True,finance,massmarketmutualfundinvestmentplatform,noida,seed/angelfunding,True
2043,0.3569254185692542,0.00076103500761035,0.4284627092846271,0.03576864535768645,False,consumerinternet,foodorderingmobileapp,hyderabad,seedfunding,True
554,0.3569254185692542,0.001141552511415525,0.4284627092846271,0.1997716894977169,True,consumerinternet,onlinepeertopeerlendingplatform,mumbai,seedfunding,False
1126,0.3569254185692542,0.000380517503805175,0.4284627092846271,0.002663622526636225,False,consumerinternet,mobileappbasedfashionnetwork,singapore,seedfunding,True
171,0.3569254185692542,0.000380517503805175,0.04946727549467275,0.3002283105022831,True,consumerinternet,realtimemobileappmanagement,bangalore,seed/angelfunding,True
69,0.00076103500761035,0.001141552511415525,0.0076103500761035,0.002663622526636225,True,tech,logistics,singapore,seriesb,True
1243,0.3569254185692542,0.000380517503805175,0.4284627092846271,0.3002283105022831,False,consumerinternet,professionalexpertadviceplatform,bangalore,seedfunding,True
2860,0.000380517503805175,0.1997716894977169,0.4284627092846271,0.011035007610350075,True,interactiveeducationalgames,unknown,jaipur,seedfunding,True
1681,0.3569254185692542,0.000380517503805175,0.4284627092846271,0.3002283105022831,True,consumerinternet,cloudbasedsoftwaresolutions,bangalore,seedfunding,True
1812,0.3569254185692542,0.000380517503805175,0.4585235920852359,0.032343987823439876,False,consumerinternet,trainrelatedinformationportal,noida,privateequity,True
2592,0.000380517503805175,0.1997716894977169,0.4585235920852359,0.1997716894977169,True,musicstreamingapp,unknown,mumbai,privateequity,True
149,0.0015220700152207,0.000380517503805175,0.000380517503805175,0.3002283105022831,True,logisticstech,largesttruckingplatform,bangalore,privatefunding,True
590,0.3569254185692542,0.001902587519025875,0.00989345509893455,0.14117199391171995,True,consumerinternet,microlendingplatform,newdelhi,debtfunding,True
1437,0.3569254185692542,0.000380517503805175,0.4284627092846271,0.1997716894977169,True,consumerinternet,onlinetutoringserviceprovider,mumbai,seedfunding,True
1415,0.11377473363774733,0.00076103500761035,0.4585235920852359,0.3002283105022831,True,ecommerce,onlinewomenfashionmarketplace,bangalore,privateequity,True
1732,0.3569254185692542,0.000380517503805175,0.4284627092846271,0.3002283105022831,False,consumerinternet,onlinehealthcareservicediscoveryplatform,bangalore,seedfunding,True
2015,0.00228310502283105,0.000380517503805175,0.4284627092846271,0.10235920852359208,False,realestate,brandedworkspacesaggregator,gurgaon,seedfunding,False
2615,0.000380517503805175,0.1997716894977169,0.4585235920852359,0.3002283105022831,True,techrecruitmentplatform,unknown,bangalore,privateequity,True
1559,0.3569254185692542,0.000380517503805175,0.4585235920852359,0.14117199391171995,True,consumerinternet,onlinecarrentalbookingplatform,newdelhi,privateequity,True
573,0.02359208523592085,0.000380517503805175,0.4585235920852359,0.1997716894977169,True,finance,equitystockexchange,mumbai,privateequity,True
94,0.001141552511415525,0.000380517503805175,0.00532724505327245,0.3002283105022831,True,automobile,electricvehicle,bangalore,seriesc,True
994,0.18188736681887366,0.000380517503805175,0.4585235920852359,0.04033485540334855,True,technology,erpsolutionsprovider,pune,privateequity,True
1774,0.3569254185692542,0.000380517503805175,0.4284627092846271,0.011035007610350075,False,consumerinternet,onlinetechportals,jaipur,seedfunding,False
841,0.02359208523592085,0.001902587519025875,0.4585235920852359,0.10235920852359208,True,finance,nonbankingfinancialcompany,gurgaon,privateequity,True
2093,0.18188736681887366,0.000380517503805175,0.4284627092846271,0.03576864535768645,True,technology,dataintelligence&analytics,hyderabad,seedfunding,True
2479,0.000380517503805175,0.1997716894977169,0.4585235920852359,0.14117199391171995,True,ondemanddeliverylogistics,unknown,newdelhi,privateequity,True
1236,0.3569254185692542,0.000380517503805175,0.4284627092846271,0.3002283105022831,False,consumerinternet,backgroundverificationservices,bangalore,seedfunding,True
1717,0.18188736681887366,0.00076103500761035,0.4585235920852359,0.3002283105022831,False,technology,artificialintelligenceplatform,bangalore,privateequity,True
2115,0.000380517503805175,0.1997716894977169,0.4284627092846271,0.3002283105022831,True,lastminutehotelbookingapp,unknown,bangalore,seedfunding,True
2607,0.000380517503805175,0.1997716894977169,0.4284627092846271,0.10235920852359208,True,preschoolchain,unknown,gurgaon,seedfunding,True
1694,0.3569254185692542,0.001141552511415525,0.4585235920852359,0.10235920852359208,False,consumerinternet,onlinepeertopeerlendingplatform,gurgaon,privateequity,True
1267,0.11377473363774733,0.0015220700152207,0.4585235920852359,0.032343987823439876,True,ecommerce,onlinegiftingplatform,noida,privateequity,True
7,0.18188736681887366,0.001902587519025875,0.0091324200913242,0.04033485540334855,True,technology,agritech,pune,seriesa,True
1508,0.3569254185692542,0.000380517503805175,0.4284627092846271,0.00076103500761035,False,consumerinternet,cloudbasederpsoftware,us,seedfunding,False
2695,0.000380517503805175,0.1997716894977169,0.4585235920852359,0.14117199391171995,True,privatelabellingerieecommerce,unknown,newdelhi,privateequity,True
406,0.18188736681887366,0.001902587519025875,0.4585235920852359,0.04033485540334855,True,technology,education,pune,privateequity,True
795,0.3569254185692542,0.000380517503805175,0.4284627092846271,0.1997716894977169,False,consumerinternet,healthbasedsocialnetworking&discoveryapp,mumbai,seedfunding,True
1230,0.18188736681887366,0.000380517503805175,0.4284627092846271,0.3002283105022831,False,technology,consumerfinance&creditscoreplatform,bangalore,seedfunding,False
822,0.18188736681887366,0.000380517503805175,0.4284627092846271,0.3002283105022831,False,technology,multilingualaiplatformforbusinesses,bangalore,seedfunding,False
2300,0.000380517503805175,0.1997716894977169,0.4284627092846271,0.14117199391171995,True,premiumapparelshoppingportal,unknown,newdelhi,seedfunding,True
132,0.001141552511415525,0.000380517503805175,0.0076103500761035,0.14117199391171995,True,food,microdeliverygroceryservice,newdelhi,seriesb,True
2807,0.000380517503805175,0.1997716894977169,0.4585235920852359,0.3002283105022831,True,selfdrivencarrental,unknown,bangalore,privateequity,True
2846,0.000380517503805175,0.1997716894977169,0.4585235920852359,0.0334855403348554,True,onlineclassifieds&listings,unknown,chennai,privateequity,True
1369,0.3569254185692542,0.000380517503805175,0.4585235920852359,0.10235920852359208,True,consumerinternet,onlinedeals&discountplatform,gurgaon,privateequity,True
2069,0.11377473363774733,0.000380517503805175,0.4585235920852359,0.14117199391171995,True,ecommerce,adultproductsetailers,newdelhi,privateequity,True
159,0.027777777777777776,0.000380517503805175,0.4585235920852359,0.01902587519025875,True,healthcare,onlinemarketplaceformotherandbabycareproducts,gurugram,privateequity,True
491,0.11377473363774733,0.0015220700152207,0.4585235920852359,0.14117199391171995,False,ecommerce,onlinegiftingplatform,newdelhi,privateequity,True
1367,0.3569254185692542,0.000380517503805175,0.4284627092846271,0.01293759512937595,False,consumerinternet,restaurantmenu&foodmobileapp,delhi,seedfunding,False
1319,0.11377473363774733,0.000380517503805175,0.4284627092846271,0.3002283105022831,False,ecommerce,b2bmarketplacefortraders,bangalore,seedfunding,False
1511,0.3569254185692542,0.000380517503805175,0.4585235920852359,0.1997716894977169,True,consumerinternet,event&movieticketingplatform,mumbai,privateequity,True
1019,0.18188736681887366,0.0015220700152207,0.4284627092846271,0.14117199391171995,False,technology,dataanalyticsplatform,newdelhi,seedfunding,False
1138,0.18188736681887366,0.001141552511415525,0.4284627092846271,0.011035007610350075,True,technology,healthtechplatform,jaipur,seedfunding,False
2771,0.000380517503805175,0.1997716894977169,0.4284627092846271,0.14117199391171995,True,onlinemedicaldiagnostic,unknown,newdelhi,seedfunding,True
1473,0.11377473363774733,0.000380517503805175,0.4284627092846271,0.1997716894977169,True,ecommerce,dreamsfulfillingmarketplace,mumbai,seedfunding,False
879,0.18188736681887366,0.000380517503805175,0.4284627092846271,0.3002283105022831,True,technology,softwaresolutionsform&as,bangalore,seedfunding,False
98,0.02359208523592085,0.00076103500761035,0.0091324200913242,0.3002283105022831,True,finance,wealthmanagement,bangalore,seriesa,True
1971,0.3569254185692542,0.000380517503805175,0.4284627092846271,0.10235920852359208,False,consumerinternet,socialnetworkingappforoutdoorinterests,gurgaon,seedfunding,True
1561,0.3569254185692542,0.000380517503805175,0.4284627092846271,0.3002283105022831,True,consumerinternet,intercitytaxibookingplatform,bangalore,seedfunding,True
295,0.02359208523592085,0.007990867579908675,0.04946727549467275,0.1997716894977169,True,finance,onlinelendingplatform,mumbai,seed/angelfunding,True
2460,0.000380517503805175,0.1997716894977169,0.4585235920852359,0.3002283105022831,True,mobileadvertisingplatform,unknown,bangalore,privateequity,True
1235,0.3569254185692542,0.000380517503805175,0.4284627092846271,0.004946727549467275,False,consumerinternet,fitnessdiscoveryplatform,indore,seedfunding,False
671,0.18188736681887366,0.000380517503805175,0.4585235920852359,0.04033485540334855,True,technology,restaurant&hotelcrmplatform,pune,privateequity,True
452,0.11377473363774733,0.000380517503805175,0.4585235920852359,0.3002283105022831,True,ecommerce,freshindianteasellingplatformacross112countries,bangalore,privateequity,True
233,0.027777777777777776,0.000380517503805175,0.04946727549467275,0.03576864535768645,False,healthcare,specialiseddiagnosticsplatform,hyderabad,seed/angelfunding,True
30,0.0091324200913242,0.000380517503805175,0.001141552511415525,0.000380517503805175,True,education,musiceducation,tulangan,unknown,True
332,0.3569254185692542,0.007990867579908675,0.4585235920852359,0.3002283105022831,True,consumerinternet,onlinelendingplatform,bangalore,privateequity,True
384,0.007229832572298325,0.001902587519025875,0.4585235920852359,0.01293759512937595,True,edtech,education,delhi,privateequity,True
1391,0.18188736681887366,0.000380517503805175,0.4284627092846271,0.3002283105022831,True,technology,mobilegamepublisherforindianaudience,bangalore,seedfunding,False
727,0.3569254185692542,0.0015220700152207,0.4585235920852359,0.3002283105022831,True,consumerinternet,coworkingspaces,bangalore,privateequity,True
349,0.3569254185692542,0.000380517503805175,0.04946727549467275,0.1997716894977169,False,consumerinternet,o2ofashionecommerceplatform,mumbai,seed/angelfunding,True
1412,0.11377473363774733,0.000380517503805175,0.4585235920852359,0.10235920852359208,True,ecommerce,onlinepharmacy&healthmarketplace,gurgaon,privateequity,True
1611,0.3569254185692542,0.000380517503805175,0.4284627092846271,0.3002283105022831,False,consumerinternet,sportsvenuediscoveryandbookingplatform,bangalore,seedfunding,True
2504,0.000380517503805175,0.1997716894977169,0.4585235920852359,0.14117199391171995,True,hyperlocalecommerce,unknown,newdelhi,privateequity,True
2543,0.000380517503805175,0.1997716894977169,0.4284627092846271,0.03576864535768645,True,onlinemarketplaceforphotographers,unknown,hyderabad,seedfunding,True
1504,0.3569254185692542,0.000380517503805175,0.4284627092846271,0.1997716894977169,False,consumerinternet,wealthmanagementapp,mumbai,seedfunding,True
1170,0.3569254185692542,0.000380517503805175,0.4284627092846271,0.14117199391171995,True,consumerinternet,careerplanning&assessmentplatform,newdelhi,seedfunding,False
903,0.11377473363774733,0.000380517503805175,0.4585235920852359,0.3002283105022831,False,ecommerce,socialcommercefashionplatform,bangalore,privateequity,True
287,0.000380517503805175,0.000380517503805175,0.04946727549467275,0.0334855403348554,True,fiinance,digitalfinancialservicesplatform,chennai,seed/angelfunding,True
1889,0.11377473363774733,0.0015220700152207,0.4284627092846271,0.14117199391171995,False,ecommerce,fashionetailer,newdelhi,seedfunding,True
1698,0.027777777777777776,0.000380517503805175,0.4585235920852359,0.03576864535768645,True,healthcare,seniorhealthcareservices,hyderabad,privateequity,True
1234,0.11377473363774733,0.001141552511415525,0.4585235920852359,0.3002283105022831,True,ecommerce,b2bmarketplace,bangalore,privateequity,True
1495,0.3569254185692542,0.000380517503805175,0.4585235920852359,0.3002283105022831,True,consumerinternet,photographerdiscovery&informationplatform,bangalore,privateequity,True
1711,0.3569254185692542,0.000380517503805175,0.4284627092846271,0.00076103500761035,True,consumerinternet,onlinehealthondemandplatform,trivandrum,seedfunding,False
2170,0.000380517503805175,0.1997716894977169,0.4284627092846271,0.0015220700152207,True,electricbikemanufacturers,unknown,coimbatore,seedfunding,True
1247,0.3569254185692542,0.000380517503805175,0.4585235920852359,0.14117199391171995,True,consumerinternet,savingsplatformformedicalexpenses,newdelhi,privateequity,True
2868,0.000380517503805175,0.1997716894977169,0.4585235920852359,0.3002283105022831,True,startupanalyticsplatform,unknown,bangalore,privateequity,True
2597,0.000380517503805175,0.1997716894977169,0.4284627092846271,0.1997716894977169,True,onlinefoodtechplatform,unknown,mumbai,seedfunding,True
47,0.02359208523592085,0.000380517503805175,0.000380517503805175,0.1997716894977169,True,finance,vcfunds,mumbai,singleventure,True
1638,0.3569254185692542,0.000380517503805175,0.4284627092846271,0.3002283105022831,False,consumerinternet,multilingualselfpublishingplatform,bangalore,seedfunding,True
435,0.18188736681887366,0.000380517503805175,0.4585235920852359,0.1997716894977169,True,technology,mobilepointofsaleservicesprovider,mumbai,privateequity,True
1273,0.3569254185692542,0.000380517503805175,0.4585235920852359,0.1997716894977169,True,consumerinternet,"mobilephonetheft,damageprotectionplatform",mumbai,privateequity,True
2767,0.001141552511415525,0.1997716894977169,0.4585235920852359,0.3002283105022831,True,onlineeducationplatform,unknown,bangalore,privateequity,True
